Participant,sex,age,victim_crime,H,E,X,A,C,O,SA,TA,OHQ,FoC,Foc2
R_01TjXgC191rVSst,male,55,yes,3.7,3,3.4,3.9,3.2,3.6,1.15,1.55,3.413793103,2.6,3
R_0dN5YeULcyms2qN,female,20,no,2.5,3.1,2.5,2.4,2.2,3.1,2.05,2.95,2.379310345,2,3
R_0DPiPYWhncWS1TX,male,57,yes,2.6,3.1,3.3,3.1,4.3,2.8,2,2.6,3,1.2,2
R_0f7bSsH6Up0yelz,male,19,no,3.5,1.8,3.3,3.4,2.1,2.7,1.55,2.1,3.482758621,3.2,5
R_0rov2RoSkPEOvlv,female,20,no,3.3,3.4,3.9,3.2,2.8,3.9,1.3,1.8,3.586206897,2.8,3
R_0wioqGERxElVTh3,female,20,no,2.6,2.6,3,2.6,2.9,3.4,2.55,1.5,3.75862069,2,4
R_0wRO8lNe0kusHNX,male,34,yes,3.2,2.5,3.2,2.8,4,3.2,1.85,1.75,3.620689655,1.6,2
R_116nEdFsGDrKKzs,female,19,no,2.9,4,3.9,4.2,3.7,1.9,1.1,2,3.551724138,2,5
R_11ZmBd5VEkW4525,female,19,yes,3.4,3.4,3.3,3.4,3.2,3.2,2.2,2.9,3.413793103,3.4,6
R_12i26Qzosmrr1KE,male,20,no,2.4,2.1,1.8,2.2,3.4,2.9,2.15,2.4,2.586206897,1.4,2
R_12KYJqsHqds2pKy,male,20,no,3,2.8,3,4.4,2.8,4.3,1.95,2.8,3.068965517,2.4,3
R_1B1yuIegO16INJX,female,24,no,2.9,3.1,1.3,2.5,3.3,2.9,2.55,2.95,2.275862069,2.2,2
R_1BVLmk4HHkm7kGt,female,19,no,3.4,3.5,2.6,4.3,3.4,3.2,2,2.35,3.655172414,2.8,4
R_1cUH1wjcfMpQQck,female,26,no,2.4,3,3.7,1.9,4.1,3.6,2.35,2.45,3.655172414,3.6,6
R_1dAMQCZ4BkJHHlb,female,22,no,4.3,3.1,3.7,3.1,4.1,3,1.2,2.7,3.896551724,2.2,5
R_1dnUz0DgMhMUgum,female,19,yes,4.3,2.6,2.5,3.5,2.9,4.1,1.45,2.1,3.655172414,2.8,5
R_1do9QAHnFeRUrBY,female,19,yes,2.2,2.5,3.1,2.2,2.6,3.3,3,3,2.482758621,4.2,6
R_1Dv5fgm4sYxUm0m,female,21,yes,3.5,3,3.6,3.3,3.9,3.7,2.15,2.3,3.689655172,3.8,4
R_1DYfWYm1Iy7bfAs,female,18,no,1.9,3.6,2.3,1.8,4.2,2.8,2.05,3.1,2.551724138,3.2,3
R_1dzfJLyM08MpRjF,female,20,yes,3.9,3.4,4.3,3,3.3,4.2,1.35,1.8,4.068965517,1.8,4
R_1eQ1Zv2sMqgTPSk,female,20,no,3,2.5,2.8,3,2.7,3.4,2.7,2.45,2.75862069,2,4
R_1erPtM7cGn9bnAB,female,19,yes,3.3,3.8,2.5,3.8,4.3,3.5,3.1,3.1,2.724137931,4.4,3
R_1eWX1bpcLMUt0RF,female,20,no,4,3.4,2.8,3.1,2.7,3.2,1.7,2.5,3.137931034,1.8,5
R_1EZpJKpadgtykyC,female,19,no,2.6,4,2.6,2.9,3.1,2.4,2.6,3,3.034482759,3.6,3
R_1FA6gqGvhTISGb3,male,22,yes,3.8,2.5,2.6,2.8,2.3,3.3,1.85,3.1,2.034482759,2,3
R_1FDpj5Ijkn6vsqU,female,18,no,3.8,3.3,3.2,3.8,3.7,2.9,2.3,2.4,3.689655172,2,5
R_1FIYshowanL1bxx,female,20,no,2.9,3.7,2.4,3.4,3.9,3.4,2.1,2.65,3.482758621,1.6,2
R_1G3szG2lsThRmwB,male,20,no,3.6,2.2,2.8,3.7,2.6,4,1.55,1.75,3.310344828,1.2,3
R_1gecBoQ1moP3Xjk,female,46,yes,3.5,2.8,3.2,2.8,3,3.8,1.7,2.05,3.137931034,1.4,3
