ResponseID,ResponseSet,Name,ExternalDataReference,Status,StartDate,EndDate,Finished,Consent Form / This study includes a range of questionnaires collecting / demographic and individual...,sex,age,hexaco1,hexaco2,hexaco3,hexaco4,hexaco5,hexaco6,hexaco7,hexaco8,hexaco9,hexaco10,hexaco11,hexaco12,hexaco13,hexaco14,hexaco15,hexaco16,hexaco17,hexaco18,hexaco19,hexaco20,hexaco21,hexaco22,hexaco23,hexaco24,hexaco25,hexaco26,hexaco27,hexaco28,hexaco29,hexaco30,hexaco31,hexaco32,hexaco33,hexaco34,hexaco35,hexaco36,hexaco37,hexaco38,hexaco39,hexaco40,hexaco41,hexaco42,hexaco43,hexaco44,hexaco45,hexaco46,hexaco47,hexaco48,hexaco49,hexaco50,hexaco51,hexaco52,hexaco53,hexaco54,hexaco55,hexaco56,hexaco57,hexaco58,hexaco59,hexaco60,hexaco_First_Click,hexaco_Last_Click,hexaco_Page_Submit,hexaco_Click_Count,stai1,stai2,stai3,stai4,stai5,stai6,stai7,stai8,stai9,stai10,stai11,stai12,stai13,stai14,stai15,stai16,stai17,stai18,stai19,stai20,taiy_1,taiy_2,taiy_3,taiy_4,taiy_5,taiy_6,taiy_7,taiy_8,taiy_9,taiy_10,taiy_11,taiy_12,taiy_13,taiy_14,taiy_15,taiy_16,taiy_17,taiy_18,taiy_19,taiy_20,happy1,happy2,happy3,happy4,happy5,happy6,happy7,happy8,happy9,happy10,happy11,happy12,happy13,happy14,happy15,happy16,happy17,happy18,happy19,happy20,happy21,happy22,happy23,happy24,happy25,happy26,happy27,happy28,happy29,happy_First_Click,happy_Last_Click,happy_Page_Submit,happy_Click_Count,safe_day,safe_night,crime_fearful1,crime_fearful2,crime_fearful3,crime_fearful4,crime_fearful5,crime_First_Click,crime_Last_Click,crime_Page_Submit,crime_Click_Count,victim_crime,victim_type1,victim_year1,victim_type2,victim_year2,witness_crime,witness_type1,type_year1,witness_type2,type_year2
R_ai4tgG1GHNdVdqt,Default Response Set,Anonymous,,0,19/10/14 21:08,19/10/14 21:26,1,1,2,26,4,5,2,4,1,4,4,5,4,2,4,4,4,2,5,5,2,3,4,2,5,4,4,1,4,1,2,2,4,1,3,1,2,2,2,5,4,3,2,4,5,2,4,2,2,4,4,1,4,5,4,2,4,5,2,2,4,2,2,1,13.114,567.871,568.975,73,2,3,1,1,2,1,3,3,1,3,2,1,2,3,2,3,2,2,1,3,3,2,3,2,1,2,2,2,2,3,1,2,2,2,2,2,2,1,3,2,2,4,5,4,5,4,4,5,4,2,4,4,4,5,4,4,3,4,4,4,4,5,4,4,3,4,1,2,1,17.569,127.717,128.942,33,2,3,1,4,4,1,3,7.422,38.884,39.999,8,2,,,,,2,,,,
R_d5OiATV0IJiBbMx,Default Response Set,Anonymous,,0,20/10/14 12:10,20/10/14 12:19,1,1,2,66,2,4,2,4,4,4,4,2,4,2,3,4,5,1,4,3,2,3,2,2,2,4,3,1,2,2,3,2,3,2,1,1,2,3,2,4,4,4,2,4,4,4,3,2,2,3,4,2,2,3,2,2,3,4,2,3,4,3,2,1,6.731,267.087,268.443,61,3,4,1,1,4,1,1,3,1,4,3,1,1,1,3,4,1,1,3,4,4,2,3,1,1,3,3,2,3,4,2,3,4,3,2,4,2,2,3,2,2,3,5,4,3,2,3,3,5,2,4,4,2,4,5,5,3,2,2,4,4,4,2,2,3,3,2,4,1,10.079,106.581,108.009,29,1,2,1,1,2,1,1,5.413,27.436,28.736,7,1,1,2011,,,2,,,,
R_aaBVZUe9mlGiDpH,Default Response Set,Anonymous,,0,20/10/14 12:15,20/10/14 12:27,1,1,1,41,1,5,2,3,2,3,4,4,3,4,2,5,4,1,3,1,4,3,2,2,4,3,2,2,4,3,2,3,4,2,1,2,3,3,2,2,4,4,4,3,3,4,4,2,2,3,4,3,4,3,3,4,3,4,2,3,4,4,4,4,9.575,279.733,280.957,61,3,3,3,3,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,4,3,3,2,5,3,4,4,4,4,4,2,4,4,2,5,4,1,5,3,2,4,3,4,2,3,2,2,2,142.964,230.427,231.575,29,1,2,3,1,1,4,4,4.212,26.252,26.758,8,1,4,2014,1,2013,1,4,2010,,
R_6nxInLKQv2bucQZ,Default Response Set,Anonymous,,0,20/10/14 12:18,20/10/14 12:28,1,1,1,46,1,5,2,4,1,5,4,4,3,1,1,4,5,2,5,1,1,5,1,2,4,4,1,1,5,1,2,3,2,1,1,2,2,2,4,5,4,4,2,2,4,3,4,2,3,5,2,1,2,1,2,4,2,5,2,1,2,4,5,1,3.097,352.189,52.525,73,4,3,1,1,3,1,3,2,1,3,2,1,1,2,3,3,1,1,3,2,2,1,1,3,3,3,2,2,1,2,1,2,2,4,2,2,1,1,3,1,4,2,2,2,1,4,3,4,3,4,4,2,4,4,2,5,2,4,4,4,4,2,5,5,2,3,4,2,4,20.256,107.773,108.472,32,1,1,1,1,1,1,1,3.65,16.002,17.906,8,2,,,,,2,,,,
R_6SCYbhOP9BG5CgR,Default Response Set,Anonymous,,0,20/10/14 12:18,20/10/14 12:29,1,1,2,53,2,4,4,5,5,4,4,2,2,1,2,2,2,2,2,5,3,3,2,2,2,5,4,2,4,2,4,2,4,2,2,1,4,4,4,5,4,4,4,4,2,4,4,2,4,2,4,2,2,2,4,1,2,4,2,2,4,4,2,1,5.919,283.834,286.265,61,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,3,1,3,1,1,2,2,1,1,4,1,2,3,3,1,4,1,2,3,1,1,4,5,5,2,1,4,4,4,2,4,4,2,4,4,5,4,4,2,4,4,4,2,2,4,3,1,2,1,9.421,99.896,101.421,30,1,3,2,2,2,2,2,4.683,27.458,28.922,7,1,1,1983,,,2,,,,
R_5pCxWA6qOQdnVyd,Default Response Set,Anonymous,,0,20/10/14 12:24,20/10/14 12:32,1,1,1,33,2,4,2,2,2,2,5,4,2,5,2,4,4,2,2,2,2,2,1,2,2,1,2,1,4,4,2,4,2,4,1,4,4,1,2,1,2,3,4,2,4,4,5,2,4,4,2,2,4,2,2,1,2,2,1,2,4,4,4,5,3.194,262.921,263.669,69,3,2,2,3,2,2,3,2,1,2,1,2,1,3,2,1,3,2,2,1,2,3,1,3,2,2,2,3,2,2,2,4,2,3,3,1,2,2,2,3,5,1,2,1,4,4,1,2,1,5,2,1,5,5,1,4,2,2,4,2,1,3,2,4,2,2,5,4,4,13.208,100.037,100.573,40,1,3,1,1,2,1,1,4.777,18.825,19.819,10,2,,,,,2,,,,
R_d1nji6V7FCppn0x,Default Response Set,Anonymous,,0,20/10/14 12:34,20/10/14 12:43,1,1,2,41,1,5,4,4,4,3,4,4,4,1,3,4,5,2,3,2,4,2,2,2,4,4,3,2,5,2,4,4,3,4,1,2,3,2,2,5,3,4,3,2,2,3,4,2,2,2,5,4,3,4,3,3,2,3,1,2,4,3,3,1,4.132,251.577,253.243,63,3,3,2,2,3,1,2,3,1,3,2,2,2,1,3,3,2,3,3,3,3,2,3,1,2,1,2,2,2,3,2,2,2,2,2,3,3,1,3,2,2,3,4,4,5,3,2,4,4,1,2,3,5,5,4,5,3,2,5,2,1,3,2,4,1,3,3,5,3,9.927,99.694,100.855,29,1,2,4,3,2,4,4,4.773,26.483,27.478,8,1,4,2003,1,2003,2,,,,
R_9v6ZgUhKflVX6yp,Default Response Set,Anonymous,,0,20/10/14 12:02,20/10/14 12:54,1,1,1,39,2,4,3,2,2,5,5,4,4,1,2,4,4,2,3,4,4,4,1,3,2,2,4,1,5,4,3,3,4,2,2,4,5,2,2,5,2,4,3,2,3,2,5,3,5,4,4,2,5,3,4,5,4,4,1,3,3,3,3,1,4.587,322.069,22.494,62,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,3,2,2,1,3,2,2,3,2,2,2,2,2,4,5,3,3,4,5,4,4,3,3,4,2,4,5,3,4,3,2,4,2,3,2,3,3,2,3,1,4,4,6.158,80.917,83.224,31,2,2,1,1,1,1,1,4.782,20.373,22.174,7,1,2,2006,,,1,2,2015,,
R_5Bg7VjBhOZja2gt,Default Response Set,Anonymous,,0,20/10/14 12:33,20/10/14 13:01,1,1,2,38,1,2,4,2,5,4,3,2,4,2,2,4,5,2,2,2,4,4,1,2,2,2,4,1,2,4,4,4,3,2,2,2,2,2,1,4,4,4,4,2,2,2,4,2,3,4,4,2,2,2,2,4,2,4,2,4,2,2,2,1,1.271,1204.878,1207.18,72,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,4,2,3,2,2,3,2,2,2,4,3,4,3,2,4,4,2,4,4,2,2,4,4,2,5,2,2,4,2,3,2,5,4,2,3,2,4,3,4.465,125.684,126.662,35,1,2,2,2,2,1,1,3.958,34.045,42.007,11,1,1,2000,,,2,,,,
R_9Sv17lQGWXwo23z,Default Response Set,Anonymous,,0,20/10/14 13:17,20/10/14 13:25,1,1,2,19,4,4,2,3,2,3,2,4,4,2,4,4,2,3,5,3,3,2,3,3,3,4,2,1,1,1,1,2,3,2,5,2,3,4,2,4,5,3,2,4,4,5,3,4,4,4,5,1,4,4,2,4,2,2,5,4,2,2,4,2,5.68,231.818,232.679,60,3,4,2,2,3,2,2,3,1,4,2,2,1,1,3,3,2,1,3,4,4,2,3,2,2,3,3,2,1,4,1,2,4,3,2,4,2,2,4,1,4,2,4,1,4,2,3,4,5,1,5,4,5,4,5,5,3,5,2,4,5,5,2,1,4,3,1,4,2,8.262,104.774,106.169,30,1,3,1,1,1,1,1,6.131,21.803,23.022,8,2,,,,,2,,,,
R_eL1py2Fms0XNOuh,Default Response Set,Anonymous,,0,20/10/14 13:00,20/10/14 13:25,1,1,2,19,2,2,2,1,2,2,2,2,4,4,4,4,5,2,4,4,4,2,2,4,4,2,1,2,2,4,3,2,1,3,2,4,2,4,1,2,5,2,1,4,1,5,5,4,2,4,3,2,1,3,2,5,2,2,2,4,4,2,4,4,3.379,349.998,351.042,62,2,2,2,3,1,2,3,2,1,2,1,2,2,2,2,2,3,2,1,1,2,3,1,4,3,1,2,4,4,2,3,4,2,3,4,2,3,4,1,4,4,3,1,2,5,5,3,2,2,4,4,1,3,4,1,4,3,1,5,2,1,2,2,4,1,2,3,4,2,857.793,975.505,976.353,29,1,3,4,4,2,2,3,5.916,24.091,28.838,7,2,,,,,2,,,,
