participant,image,image_type,RT
S001,S01,ingroup,479.7573955130975
S001,S02,ingroup,1048.61201005857
S001,S03,ingroup,614.9340963706219
S001,S04,ingroup,172.1078187037483
S001,S05,ingroup,663.3960682604538
S001,S06,ingroup,470.55569889690435
S001,S07,ingroup,806.7469385574553
S001,S08,ingroup,534.3620301771341
S001,S09,ingroup,846.3961602832715
S001,S10,ingroup,618.663666908071
S001,S11,ingroup,610.9938478698248
S001,S12,ingroup,775.2172502626324
S001,S13,ingroup,436.7192381076494
S001,S14,ingroup,698.9112311558808
S001,S15,ingroup,801.0373000670966
S001,S16,ingroup,741.9250603416878
S001,S17,ingroup,579.2227771481502
S001,S18,ingroup,916.2803844193062
S001,S19,ingroup,685.9258952485075
S001,S20,ingroup,759.4127171950047
S001,S21,ingroup,876.9930696001161
S001,S22,ingroup,430.12730638908414
S001,S23,ingroup,854.6524923325134
S001,S24,ingroup,1078.1555333603392
S001,S25,ingroup,794.8745788924315
S001,S26,outgroup,1035.2001460398483
S001,S27,outgroup,693.8592744007725
S001,S28,outgroup,1079.3152536142316
S001,S29,outgroup,659.8273753008681
S001,S30,outgroup,1162.4540027332225
S001,S31,outgroup,684.3962248850238
S001,S32,outgroup,1049.7074845456034
S001,S33,outgroup,1004.1043903641523
S001,S34,outgroup,1208.4088345612943
S001,S35,outgroup,1111.44670138452
S001,S36,outgroup,1000.8992754906483
S001,S37,outgroup,898.0165641376741
S001,S38,outgroup,874.5029691698522
S001,S39,outgroup,1359.0657755391246
S001,S40,outgroup,741.3662057243804
S001,S41,outgroup,844.7522132277526
S001,S42,outgroup,1215.0222408336026
S001,S43,outgroup,701.6827320597453
S001,S44,outgroup,755.5813438605957
S001,S45,outgroup,667.567868375801
S001,S46,outgroup,734.7247294193362
S001,S47,outgroup,965.0372267666324
S001,S48,outgroup,785.6223638130364
S001,S49,outgroup,852.990929363359
S001,S50,outgroup,982.3423986400458
S002,S01,ingroup,276.27425767628233
S002,S02,ingroup,1236.60951685335
S002,S03,ingroup,678.9210027663663
S002,S04,ingroup,897.4003338584408
S002,S05,ingroup,1008.4135601447235
S002,S06,ingroup,1110.5314495167936
S002,S07,ingroup,791.4731920196108
S002,S08,ingroup,806.7111190147237
S002,S09,ingroup,879.4409577544235
S002,S10,ingroup,657.3404806989101
S002,S11,ingroup,469.7655358347485
S002,S12,ingroup,762.3644691596061
S002,S13,ingroup,891.6699411739168
S002,S14,ingroup,790.83523510043
S002,S15,ingroup,527.7642968085412
S002,S16,ingroup,1172.7278404192768
S002,S17,ingroup,760.4950807543274
S002,S18,ingroup,963.01908363432506
S002,S19,ingroup,531.5901829155837
S002,S20,ingroup,1002.2638450628803
S002,S21,ingroup,708.436496929837
S002,S22,ingroup,1012.8450671939227
S002,S23,ingroup,606.1139217046538
S002,S24,ingroup,932.6230176897096
S002,S25,ingroup,479.65615842509897
S002,S26,outgroup,991.1535791109461
S002,S27,outgroup,1048.6902457673757
S002,S28,outgroup,781.6813077297888
S002,S29,outgroup,347.4354454386512
S002,S30,outgroup,687.1030426477805
S002,S31,outgroup,830.9836164880019
S002,S32,outgroup,734.8881053274589
S002,S33,outgroup,1100.647760666429
S002,S34,outgroup,974.2823987062995
S002,S35,outgroup,355.6894546765395
S002,S36,outgroup,785.8410360137134
S002,S37,outgroup,939.0136350964203
S002,S38,outgroup,574.3434448947961
S002,S39,outgroup,865.2522747103626
S002,S40,outgroup,1001.3378348531367
S002,S41,outgroup,1103.5494817918614
S002,S42,outgroup,1201.6748956587999
S002,S43,outgroup,956.0024102139643
S002,S44,outgroup,864.7110978512176
S002,S45,outgroup,953.2461275493129
S002,S46,outgroup,1025.1164774959984
S002,S47,outgroup,456.10480868466874
S002,S48,outgroup,1010.7956722450914
S002,S49,outgroup,597.3605086098707
S002,S50,outgroup,707.6058912641124
S003,S01,ingroup,474.61013307146106
S003,S02,ingroup,794.7837983310833
S003,S03,ingroup,805.4989621090477
